lat,lon
-17.696352,76.937740
-3.485196,72.577276
-4.193022,72.682680
-2.566817,72.163318
-2.596155,72.037390
-2.744107,71.875514
-2.744107,71.875514
-1.233116,73.370016
-1.492484,73.233025
-1.341282,73.089913
-1.223494,73.021656
-0.055525,73.237163
-0.355378,73.306484
-4.894882,60.950355
-4.281877,61.369177
-4.468157,60.086705
-3.938922,61.268555
-16.271737,70.118528
-16.997298,70.317530
-16.981411,70.198592
-16.996336,70.428518
-17.172560,70.560053
-17.097708,70.671643
-17.030760,70.770243
-17.143880,70.019422
-16.907376,69.901900
-17.017787,69.816248
-17.153104,69.849359
-17.293037,69.890269
-17.402848,69.884756
-17.176830,69.648572
-16.976640,69.777014
-16.853430,70.272794
-16.889516,70.447458
-16.405486,69.723579
-17.436008,70.131116
-17.490024,70.038000
-17.204726,69.265264
-17.166241,69.359208
-17.330877,69.373961
-17.594974,69.349494
-17.725745,69.277510
-17.205361,69.271965
-16.879747,69.309150
-16.684053,70.194744
-16.682746,70.322569
-18.002391,69.976436
-16.884938,69.303697
-17.018694,69.355545
-16.878017,69.627782
-17.323612,69.365082
-17.204942,69.259489
-16.136482,70.682799
-14.381586,71.503888
-14.090068,71.022807
-17.976241,77.880326
-18.579324,77.982672
-18.751309,77.818100
-19.780462,73.719738
-19.877561,73.820791
-19.842972,74.004243
-19.803476,74.127170
-20.054304,73.661231
-20.024012,73.499279
-19.824393,73.377078
-19.728171,73.462337
-19.638966,73.147617
-18.338770,73.715529
-18.440406,74.007219
-18.376164,74.260980
-18.244008,74.128596
-18.310472,74.956515
-18.460755,74.876945
-18.545735,74.775164
-17.733795,75.339652
-17.788192,75.532824
-17.833419,76.576723
-17.651923,76.639036
-17.475997,76.595809
-16.869019,76.745286
-16.947252,77.177834
-16.510796,76.150487
-16.126788,75.423468
-20.300994,73.183274
-20.417318,73.073690
-34.559475,64.567469
-34.464135,64.615480
-35.287169,63.490892
-33.394954,64.988184
-33.334125,64.621068
-35.288265,63.495759
-35.884241,69.345558
-36.149330,70.026459
-35.422684,70.548187
-35.273236,69.903507
-34.984062,69.446552
-41.451343,70.458745
-41.768173,70.368121
-42.369611,68.950961
-42.378699,67.677004
-43.513764,69.032601
-43.723081,73.009968
-41.530046,74.850499
-41.450380,74.986740
-42.094042,75.819679
-41.507919,75.908287
-41.969308,76.586977
-42.871212,75.506441
-43.097174,75.403695
-43.504956,75.552220
-43.330845,76.118321
-42.550335,77.485928
-42.428139,77.971050
-41.976042,77.936358
-41.765797,77.944124
-41.514837,78.257319
-41.476473,78.335440
-41.348358,78.770570
-41.147889,75.994224
-42.255956,78.600583
-42.158525,77.830421
-42.228399,78.799934
-43.175855,77.376598
-44.886332,73.167139
-45.127604,72.732848
-45.462607,72.419824
-45.932884,72.719294
-45.750515,72.802245
-45.676928,71.069372
-46.208411,72.097332
-45.673718,71.076861
-46.609167,70.524792
-45.447179,76.427745
-44.687023,78.160147
-44.419919,79.686438
-44.679635,79.288137
-44.805477,79.058935
-44.925585,78.968831
-43.113690,79.673550
-42.783310,80.244876
-43.018577,80.782692
-43.387457,80.338053
-43.110692,79.676973
-42.570840,81.285243
-42.506959,81.388597
-42.435153,81.976367
-42.860509,82.236203
-41.962983,81.322412
-41.810766,80.935118
-43.349598,83.441415
-43.171031,85.501053
-42.890993,86.785341
-42.095685,85.849644
-41.896983,86.118609
-41.473462,85.968342
-41.206451,86.254963
-42.982457,87.278553
-44.247222,88.402488
-46.586933,86.312303
-46.313398,87.967878
-46.151177,88.947361
-46.849020,89.552472
-47.291868,88.226261
-47.527473,86.710414
-48.252788,88.075635
-47.604160,87.403683
-47.528294,88.614448
-47.459134,88.777820
-47.797595,89.239297
-48.646192,88.338029
-48.404478,89.966631
-48.404478,89.966631
-49.099451,87.515916
-49.498479,89.379299
-49.832831,89.287956
-50.037192,86.425031
-50.437782,86.514312
-50.194017,87.960784
-49.821449,89.286275
-49.821449,89.286275
-51.506376,85.494503
-52.317263,86.457660
