lat,lon
   6.624558°  -98.182390°
   6.756956°  -98.146972°
   6.820537°  -98.032138°
   6.790660°  -97.872089°
   6.763482°  -97.478763°
   7.009966°  -97.589441°
   7.032234°  -97.502932°
   7.082969°  -97.395420°
   7.035450°  -97.282466°
   6.885916°  -97.151219°
   5.556485°  -95.118914°
   5.464432°  -95.350132°
   5.607680°  -95.280453°
   4.195959°  -99.847710°
   3.761505°  -99.618289°
 -31.841610° -115.400896°
 -31.885416° -115.113937°
 -32.454166° -115.525119°
 -32.782107° -113.956658°
 -32.066708° -114.196125°
 -31.735831° -114.075981°
 -35.268102° -115.358901°
 -30.949472° -114.417349°
 -31.007705° -114.640085°
 -30.644897° -113.918576°
 -30.619202° -113.666649°
 -30.629101° -113.468572°
 -31.592862° -119.011539°
 -31.495239° -118.821162°
 -31.639231° -118.526417°
 -31.501042° -118.840001°
 -31.580568° -118.875832°
 -31.600293° -119.022600°
 -31.696533° -119.168926°
 -31.719117° -119.251289°
 -31.799249° -119.734838°
 -31.734925° -119.613931°
 -31.663154° -119.715616°
 -32.127057° -118.542908°
 -32.912018° -118.200036°
 -32.254616° -117.114526°
 -32.119454° -117.344891°
 -32.189782° -117.717436°
 -32.437908° -117.523431°
 -31.817587° -112.818095°
 -39.571018° -116.688623°
 -40.025756° -114.072775°
 -40.219751° -114.081109°
 -41.083545° -114.085133°
 -41.624500° -114.731224°
 -42.610786° -115.071204°
 -44.781509° -117.855576°
 -45.956596° -117.032350°
 -50.382062° -119.555049°
 -53.480959° -103.501037°
 -54.068394° -103.684009°
 -53.233693° -104.157951°
 -53.721587° -101.329961°
 -55.220182° -101.824196°
 -55.052300° -101.669817°
 -49.584675°  -95.562123°
 -56.990809° -111.463965°
 -53.978207° -108.807532°
 -54.055253° -108.530191°
 -53.230642° -107.837470°
 -44.352622° -115.068186°
 -42.181927° -112.176815°
 -41.568934° -112.120197°
 -40.973774° -111.088398°
 -41.481891° -110.299365°
 -41.439472° -110.037847°
 -40.057006° -113.505316°
 -40.301699° -113.396008°
 -39.323604° -114.216502°
 -38.071989° -115.252268°
 -38.633779° -116.104742°
 -38.597184° -116.563583°
 -41.444641° -117.114861°
 -41.354556° -116.747678°
 -41.285526° -116.436977°
 -42.393762° -116.850355°
 -42.334246° -116.713824°
 -42.997911° -118.395373°
 -43.075556° -118.572514°
 -43.991408° -118.067198°
 -43.873142° -118.472164°
 -44.527178° -118.359451°
 -45.013995° -116.691173°
 -50.816148° -114.603989°
 -48.805692° -116.731756°
 -47.581692° -116.529078°
 -47.327488° -116.127746°
 -53.400031° -119.160307°
 -55.815936° -119.655879°
 -45.000713° -127.205614°
 -42.688234° -125.247745°
 -41.631070° -125.249767°
 -41.787134° -127.281678°
 -40.521438° -126.903033°
 -40.825665° -136.675558°
 -39.358263° -137.461708°
 -37.578902° -134.341274°
 -37.965260° -135.041437°
 -36.572205° -133.830208°
 -36.647492° -135.338836°
 -35.680895° -138.355780°
 -35.917456° -136.569334°
 -35.675386° -138.354596°
 -35.535234° -135.881073°
 -34.227391° -135.740210°
 -34.625610° -135.308662°
 -34.503368° -141.242035°
 -32.851484° -142.101236°
 -32.822243° -141.787138°
 -27.859199° -123.106797°
 -27.833428° -123.256597°
 -28.007626° -123.320010°
 -27.478243° -124.036210°
 -27.240102° -124.108597°
 -26.577304° -123.854328°
 -26.448574° -124.291121°
 -26.280512° -124.193654°
 -26.267301° -124.047803°
 -26.606120° -126.690804°
 -26.707909° -128.038885°
 -26.242993° -130.695825°
 -26.056591° -130.478276°
 -23.727651° -138.081700°
 -30.230915° -143.249763°
 -28.932610° -149.687746°
 -22.223917° -147.605540°
 -22.255276° -148.120257°
 -22.444321° -147.833235°
 -17.837725° -148.945528°
 -17.540283° -148.944662°
  16.601226° -145.755244°
  25.903899° -129.215702°
  25.595026° -129.276744°
  29.811397° -123.461939°
  29.822945° -123.686647°
  33.187021° -124.563879°
  35.077570° -128.893605°
  36.192634° -149.961675°
  38.159387° -151.351871°
  24.246337° -157.251353°
  11.240793° -152.137476°
  13.249918° -118.353612°
   5.620075° -126.671075°
   4.246893° -128.522718°
  -0.792353° -136.911234°
  -8.302550° -145.490744°
 -10.317002° -146.798872°
  -9.945791° -145.802896°
 -21.006200° -145.698346°
 -21.095581° -146.551617°
 -24.772866° -148.942640°
 -28.430576° -146.038763°
 -28.901639° -144.392803°
 -30.599227° -142.546247°
 -32.161920° -133.020114°
 -32.170790° -133.195495°
 -32.788231° -132.875616°
 -33.855975° -130.860534°
 -33.632754° -130.720923°
 -33.445995° -130.600760°
 -33.216086° -127.935001°
 -33.103035° -127.793973°
 -40.702837° -135.996182°
 -43.314104° -134.856900°
  42.965245° -167.497317°
  37.580807° -125.567033°
  37.291543° -125.523587°
  34.168181° -129.246208°
  31.618699° -132.519112°
  18.978524° -139.263466°
  21.737202° -122.384321°
  20.645224° -118.957556°
  20.470844° -119.661666°
  23.548991° -115.077217°
  21.674224° -111.543883°
  20.582752° -108.407302°
  20.087082° -108.391827°
  19.799076° -108.205193°
  19.961640° -108.180542°
  20.136281° -106.731384°
  18.361142° -107.092506°
  13.513882° -112.577565°
  12.400266° -112.016222°
  12.122825° -111.906415°
  11.697551° -114.515014°
   7.081070° -110.268196°
   7.339663° -109.898849°
   8.313075° -113.163939°
  25.662824° -142.000758°
  20.926496° -141.899385°
  20.902697° -142.018419°
  18.190639° -142.980759°
  20.252895° -132.707242°
  21.319425° -129.704509°
  23.238125° -124.351058°
  23.325735° -122.399770°
  26.326875° -122.437335°
  22.101720° -125.305550°
  22.751373° -125.600976°
  23.242442° -124.337139°
