number,l1_t,l1_s,model_height,lon,lat
mh140,346.69855,7.2656727,1000,-172.8759952322653,50.46704085538198
mh141,100.94348,6.584646,1400,-172.1768183263328,50.16728149950718
mh142,126.07565,3.0473974,900,-170.2604122854006,50.68869845370097
mh143,646.8718,14.4850645,600,-167.5161764254294,51.63643211633502
mh144,65.60034,4.8207016,700,-165.8874437123066,51.41788745577936
mh145,52.408966,2.446183,800,-167.626869718539,50.55961795984651
mh146,13.821915,2.5197818,800,-167.512315452657,49.33686227391676
mh147,25.707329,2.1908202,800,-168.4509835787798,48.88367927462047
mh148,179.33017,8.566499,1000,-166.6797199120369,51.59888288975187
mh149,446.0501,8.515977,1000,-166.6287030892592,51.74680836927951
mh150,398.18814,9.79113,700,-167.6953965621474,51.48702635499203
mh151,98.88718,5.6869464,600,-167.9611609154219,51.18141192742889
mh152,88.76814,5.4032354,900,-167.9839214595022,50.14545193933883
mh153,40.396507,3.9921105,400,-166.7782936256575,50.20407203359859
mh154,54.56337,4.42735,900,-169.3021729010343,48.54424427092479
mh155,101.08682,6.824919,800,-169.6522905581155,48.59248600311997
mh156,75.13843,4.484947,600,-170.2736237839733,48.8667163493122
mh157,50.543774,4.7689,1000,-168.4756959033126,47.93598275507875
mh158,179.58644,4.0170803,900,-168.9542209485813,47.41111134266283
mh159,136.2707,5.95495,700,-169.0213710283688,47.2821232971886
mh160,79.923935,5.3059955,900,-168.0730211329993,47.06529272200473
mh161,58.36724,3.2797344,800,-168.046374726069,46.92000907779089
mh162,69.63189,5.4787064,1000,-167.5500375988889,47.47922297396204
mh163,49.88898,4.8367915,1000,-167.9199272820674,48.60353523671528
mh164,17.179121,2.543913,700,-167.1206373867386,48.69897255843546
mh165,24.512127,2.5396369,500,-166.7687637294733,48.40758588441663
mh166,66.08031,4.1626606,1100,-167.0657933563094,47.49359480590909
mh167,20.248566,2.9271147,800,-166.2742982611686,47.56106772637739
mh168,35.312737,2.635749,800,-166.2916621200647,47.64296153944505
mh169,22.190134,3.498226,800,-165.9218839587967,48.27071976257913
mh170,39.651585,5.709548,1200,-165.3786340427015,48.10519802285716
mh171,24.397385,3.1676073,900,-164.9541895458973,47.58163337824983
mh172,45.75428,4.8820777,900,-164.5552914169903,47.73131161782436
mh173,105.08144,5.3632145,1200,-164.4854498205248,47.66789941377952
mh174,72.417915,3.2227888,900,-164.035507034667,47.15292311570748
mh175,95.26682,7.576117,1400,-164.2314982227734,46.68143835399768
mh176,81.424995,5.5158453,1000,-164.289159677528,46.52709769815624
mh177,62.060707,3.4818826,900,-164.5299315395476,46.37604148379316
mh178,56.649364,3.9697084,800,-164.9136170417582,46.22332418131836
mh179,34.049126,3.6267226,900,-164.8421929076315,46.57959390279232
mh180,35.46476,3.78755,1000,-165.5521187356747,45.93580398186228
mh181,85.03811,7.362642,900,-166.6929424532759,45.71669043643049
mh182,54.55215,7.153384,1200,-166.9165928802379,45.85996334530404
mh183,232.33095,9.851139,1200,-166.8254490331112,45.17653694541004
mh184,272.0104,9.840432,1200,-167.5582009343946,44.98437848924456
mh185,196.82384,8.377022,1000,-167.7850741875816,45.23719194949157
mh186,167.0875,7.7177176,900,-167.2819622301431,45.22752525725283
mh187,189.4141,9.965294,900,-167.5971812239644,45.42324323996417
mh188,131.40773,7.0253334,900,-166.4785075911673,45.26998770617178
mh189,114.575005,6.406876,1200,-166.0587169179766,45.56489753076929
mh190,194.91774,7.8330655,1000,-167.1809169252091,45.04604821989819
mh191,203.68158,9.312769,1200,-169.5223475055644,45.80172394424798
mh192,206.67647,9.652294,1500,-169.721870066198,45.51250617058425
mh193,345.4581,11.630983,1100,-169.7644035916731,45.16565758885167
mh194,305.28168,12.54105,1000,-170.1035266821943,45.21005596183161
mh195,147.64539,5.691032,1300,-170.0395767344755,45.82072425999628
mh196,73.3221,3.1778128,800,-175.1958307788188,44.82421079646334
mh197,190.00735,9.394233,1200,-175.265977092052,44.31949042859636
mh198,175.38477,8.679708,900,-174.9167836846201,44.68644273412411
mh199,289.6934,10.737499,1200,-173.7226719681993,43.53245260274812
mh200,243.8305,9.474765,800,-173.9561168985078,43.60993052260915
mh201,157.28192,5.2095976,1000,-174.0129219819646,43.73303471088558
mh202,125.821915,5.9960713,1000,-172.6014991587682,42.03149815005664
mh203,237.71695,12.316107,1100,-173.0162390840573,42.55593329814439
mh204,193.72182,7.8778563,800,-175.4853575544585,43.4031163135013
mh205,60.13181,2.6733809,800,-175.305531845591,45.92971101596972
mh206,48.310825,2.8709736,700,-175.8920110035712,46.08796911483665
mh207,49.7337,2.9652057,800,-176.0940477839202,45.33157714545656
mh208,183.64441,8.861746,1000,-178.5609276827725,43.49151622276387
mh209,165.75801,6.8754544,1100,-179.1269280885449,44.15388841814483
mh210,110.62636,7.1029277,800,-178.7271643157116,43.83741131345713
mh211,112.544395,5.790091,1100,-179.4697399130809,43.3439214519537
mh212,230.9088,10.348112,1300,-179.2045301202735,42.12593801901906
mh213,300.59027,10.768617,1300,-179.1213062168532,42.64644127737039
mh214,171.19759,9.024237,1100,-179.4981162825186,41.92863092819362
mh215,259.65552,6.710057,1000,-179.7007448136581,42.46022555656088
mh216,260.42072,10.360392,900,-179.7509691325995,42.15013317831662
mh217,519.18835,16.009314,1300,-179.8915295155503,41.92491860899008
mh218,556.4144,16.151968,1400,-178.442692600289,42.53631195610379
mh219,363.87875,15.774184,1100,-179.859542121678,41.68393422734899
mh220,277.86407,10.321454,1200,-178.8148448770613,42.83002117920483
mh221,288.50577,10.151276,1300,-177.8831243733654,42.86354352427252
mh222,213.33405,8.08682,900,-177.8927749519839,43.06847426004961
mh223,237.49652,7.447678,1100,-179.593511169855,39.71815817795889
mh224,147.79886,6.43393,800,-179.857214241412,39.73790058601114
mh225,127.582146,4.0237446,800,-178.2016414907511,38.26268804848859
mh226,131.47325,4.9334793,1200,-177.5824996256264,37.26211297540866
mh227,92.35845,6.378165,1000,-178.188594431214,37.28488864054513
mh228,168.33192,6.7253656,1200,-178.0856272582312,36.97834131967719
mh229,178.15633,8.424908,800,-178.3348659738796,35.82253160852556
mh230,126.18714,5.4776955,1300,-178.3934423490144,35.62886638181131
mh231,116.14846,7.4524717,500,-178.7098450959799,35.88164232842758
mh232,59.056778,4.401387,800,-179.1941116476327,35.31583473555267
mh233,281.42252,8.600971,1000,-179.7637175677021,35.00003941018264
mh234,429.02176,12.976655,1600,-179.2861354987525,34.44653128426894
mh235,434.49103,8.853972,1100,-178.2450510122734,34.24108191920479
mh236,214.84325,12.160251,700,-177.9225682901346,34.35308038188278
mh237,298.14395,5.6453624,500,-178.241633315009,34.41402027001944
mh238,127.43048,6.933665,900,-177.9769063597778,34.76178162080292
mh239,432.1627,10.67495,1600,-177.4467706913501,34.75414802532204
mh240,73.88459,4.650763,1000,-178.071783296183,35.52671080458227
mh241,138.0921,8.154569,1000,-178.0595872602906,35.80941478859227
mh242,275.44092,8.135856,800,-177.4162549549445,35.43481378354757
mh243,119.870346,3.7474449,1000,-178.4339362715094,34.91621366877789
mh244,290.52518,11.42892,1700,-177.0631832293385,36.07506164000417
mh245,333.26248,8.657958,1100,-176.1594164404583,36.1740647576145
mh246,224.98509,13.927068,800,-176.7255409225903,34.67688926014578
mh247,268.39368,7.53507,1100,-176.1292521369111,38.2648893009016
mh248,158.86768,6.72609,1400,-176.113385588753,38.77240319643873
