lat,lon
  -8.227565°   81.538095°
  -8.677053°   81.443881°
  -9.236132°   81.542301°
  -9.425098°   81.276541°
  -9.376248°   81.341492°
  -9.721564°   81.221255°
 -11.702305°   81.190535°
 -11.444941°   81.389537°
 -11.838202°   81.078859°
  -8.533045°   81.699549°
  -4.454033°   82.132412°
  -4.450303°   81.591777°
  -4.229064°   83.393137°
 -12.246916°   82.597437°
 -12.491723°   80.169034°
 -12.766544°   81.028156°
 -13.646748°   80.259328°
 -12.635136°   79.660057°
 -14.090515°   79.322586°
 -14.175905°   79.278092°
 -14.089798°   80.770086°
 -14.865703°   81.707160°
 -14.040023°   82.949622°
 -14.348767°   83.223993°
 -14.546473°   82.932005°
 -14.435394°   82.149560°
 -14.872082°   81.696303°
 -15.385886°   83.787422°
 -13.852275°   83.038486°
 -13.933099°   83.166163°
 -14.046471°   82.952213°
 -14.346923°   83.038788°
 -14.341562°   83.236432°
 -14.548821°   82.929092°
 -14.562985°   83.010427°
 -14.941472°   83.125485°
 -14.927999°   83.330353°
 -15.254148°   83.456811°
 -15.545440°   83.428300°
 -15.880849°   83.523889°
 -15.924816°   83.095712°
 -16.477209°   83.422182°
 -16.517180°   83.281532°
 -16.248515°   81.876653°
 -16.047524°   82.140936°
 -16.267018°   81.570668°
 -16.179486°   81.334409°
 -15.709849°   84.992265°
 -16.091330°   87.236558°
 -16.394950°   87.255052°
 -16.518026°   87.846325°
 -16.726735°   87.864487°
 -16.766788°   87.668867°
 -16.395089°   87.251601°
 -17.066135°   87.276916°
 -17.232526°   87.491009°
 -17.082544°   87.180155°
 -17.628363°   87.127617°
 -17.707399°   86.621352°
 -17.965361°   87.025491°
 -18.169343°   86.901368°
 -18.351962°   87.303723°
 -17.793352°   87.811369°
 -17.650763°   87.816610°
 -18.833244°   86.862166°
 -19.036046°   87.034805°
 -19.018522°   87.356920°
 -18.926275°   87.558202°
 -18.859726°   87.791378°
 -18.912680°   87.892779°
 -19.262824°   87.274163°
 -19.330739°   87.421771°
 -19.465478°   87.160757°
 -19.193626°   86.799425°
 -19.287060°   86.925506°
 -19.523622°   86.852808°
 -19.564527°   86.666523°
 -19.577664°   86.398471°
 -19.963068°   87.110712°
 -20.168711°   87.108417°
 -20.030553°   87.345470°
 -20.387265°   86.761983°
 -20.581085°   87.059886°
 -20.519882°   87.228848°
 -20.449790°   87.356444°
 -20.590266°   87.519270°
 -20.777731°   87.649524°
 -20.708546°   86.674802°
 -20.974276°   86.754945°
 -21.201396°   87.012654°
 -21.278303°   87.356010°
 -21.406006°   86.904429°
 -21.271921°   86.681583°
 -20.615754°   86.737709°
 -21.478970°   85.870794°
 -21.322272°   85.450478°
 -21.266611°   86.677416°
 -21.566977°   87.267070°
 -21.736751°   87.241603°
 -21.886802°   87.099986°
 -21.667376°   86.626296°
 -21.841477°   85.936702°
 -21.726420°   85.507072°
 -21.337140°   85.476883°
 -21.469565°   85.311856°
 -21.674167°   85.203707°
 -21.719761°   84.937423°
 -21.221704°   86.043979°
 -21.225009°   85.910011°
 -20.268981°   84.757011°
 -20.446415°   84.779524°
 -20.980179°   84.804592°
 -21.250780°   84.409795°
 -21.463191°   84.360223°
 -20.327328°   83.817479°
 -20.556501°   83.851062°
 -20.666505°   83.389187°
 -20.719396°   83.055583°
 -22.044724°   87.394954°
 -22.511408°   87.513772°
 -22.535081°   87.378210°
 -22.780302°   87.506499°
 -22.918394°   87.367346°
 -22.957832°   87.601386°
 -23.534342°   87.539270°
 -23.564469°   87.756009°
 -23.614661°   88.079818°
 -23.520342°   88.192527°
 -23.668291°   87.908357°
 -23.947225°   87.613727°
 -23.500998°   86.603935°
 -23.391412°   86.680749°
 -23.912309°   86.733235°
 -23.699354°   86.880551°
 -23.834405°   87.047792°
 -23.962424°   87.049783°
 -24.166818°   87.048228°
 -24.375014°   87.212728°
 -24.453487°   86.965787°
 -24.614103°   87.188153°
 -24.811128°   87.314783°
 -24.891602°   87.023902°
 -25.414998°   87.402518°
 -25.383237°   87.736816°
 -25.441435°   87.136056°
 -25.727012°   86.839644°
 -26.065982°   86.985772°
 -26.011936°   86.206955°
 -26.670898°   86.544600°
 -26.085613°   88.189419°
 -26.405476°   87.840884°
 -27.026748°   86.826374°
 -29.122827°   88.186554°
 -29.552377°   87.164129°
 -29.769104°   86.955234°
 -29.139322°   87.118801°
 -29.554645°   84.504720°
 -29.685285°   84.370844°
 -29.778871°   84.948269°
 -29.986892°   85.104649°
 -30.379214°   82.840933°
 -30.932769°   82.174894°
 -30.684036°   80.937617°
 -30.904746°   81.142448°
 -30.897495°   81.290351°
 -31.165012°   82.114070°
 -31.223675°   81.867329°
 -31.253079°   81.526881°
 -31.217970°   80.647608°
 -30.541743°   81.531504°
 -31.064291°   80.930435°
 -31.080711°   81.211841°
 -31.163560°   80.414933°
 -31.267621°   80.080636°
 -31.373020°   80.417314°
 -31.905599°   80.106359°
 -32.140762°   79.749253°
 -32.254105°   80.066846°
 -32.425499°   79.756022°
 -32.640851°   79.754918°
 -32.674150°   79.485511°
 -32.790943°   79.669836°
 -32.779584°   79.297255°
 -32.841008°   79.495221°
 -32.931368°   79.318238°
 -33.169848°   79.094008°
 -33.236270°   79.196307°
 -33.725118°   79.661561°
 -33.686990°   78.517728°
 -33.273200°   77.753303°
 -32.553388°   81.075433°
 -32.213147°   77.325836°
 -31.546342°   77.431890°
 -31.474555°   78.100858°
 -31.463427°   78.366485°
 -31.686461°   78.201757°
 -31.567260°   78.583349°
 -31.409829°   78.804661°
 -31.037690°   78.315746°
 -31.125592°   78.161127°
 -31.223628°   78.044669°
 -31.293347°   77.907451°
 -31.543503°   77.439381°
 -30.364634°   78.639740°
 -30.092029°   78.372499°
 -30.279295°   78.338279°
 -30.934452°   79.955176°
 -30.489635°   78.055064°
 -30.267551°   77.687545°
 -30.425113°   76.852567°
 -31.059249°   76.581598°
 -30.807499°   75.274495°
 -30.912437°   74.735611°
 -31.100734°   74.666049°
 -31.326849°   74.030779°
 -31.593907°   74.318998°
 -31.950266°   73.984851°
 -32.035167°   74.177988°
 -32.184825°   74.427530°
 -32.299030°   74.472720°
 -32.305032°   74.354483°
 -32.190420°   73.948568°
 -32.005809°   73.325481°
 -32.357411°   73.244864°
 -32.436116°   73.113405°
 -32.762753°   72.821297°
 -32.837119°   72.429301°
 -33.928197°   79.429978°
 -34.136591°   79.541755°
 -34.267084°   79.356526°
 -34.228920°   79.809007°
 -35.396292°   80.486011°
 -35.404949°   80.155784°
 -35.887726°   79.366397°
 -36.892880°   78.092940°
 -36.889851°   79.663663°
 -36.863665°   79.828543°
 -37.136352°   79.192129°
 -37.179560°   79.351768°
 -37.376090°   79.295221°
 -37.647619°   78.601630°
 -37.900787°   78.706225°
 -37.793200°   78.286487°
 -37.789283°   78.536652°
 -38.251053°   77.736538°
 -38.297909°   76.394401°
 -38.859444°   76.761861°
 -39.292025°   77.584728°
 -39.365343°   77.449462°
 -39.238600°   77.908082°
 -39.477870°   77.685370°
 -39.635004°   77.669097°
   0.622379°  141.334565°
   0.637329°  141.007482°
   0.623983°  141.002130°
   0.601696°  140.810277°
   1.369921°  140.487499°
   0.311162°  139.490138°
   0.365715°  139.289042°
   0.524115°  139.321868°
   0.527864°  139.209929°
   0.520330°  139.118467°
   1.644874°  141.473160°
   2.124294°  141.537598°
   2.614915°  141.231741°
   2.418873°  141.157090°
   2.582805°  140.675910°
   2.334862°  140.190025°
   2.263329°  140.026901°
   0.483112°  143.048136°
   0.655654°  143.183010°
   0.478497°  143.230126°
   1.202966°  143.776720°
   1.125048°  143.619648°
   2.843277°  142.044861°
   2.974289°  141.833698°
   3.207631°  141.529912°
   3.391012°  140.925286°
   0.842103°  141.285000°
