,lat,lon,cluster
53,-18.72708333333334,-112.27708333333334,70
54,-18.72708333333334,-112.27291666666667,70
55,-18.72708333333334,-112.26875,70
56,-18.72708333333334,-112.25625,70
57,-18.72708333333334,-112.24375,70
58,-18.72708333333334,-112.23125,15
59,-18.72708333333334,-112.22708333333334,15
60,-18.72708333333334,-112.22291666666666,15
61,-18.72708333333334,-112.21875,15
62,-18.72708333333334,-112.21458333333334,15
63,-18.72708333333334,-112.21041666666667,15
64,-18.72708333333334,-112.20625,15
65,-18.722916666666663,-112.28125,70
66,-18.722916666666663,-112.27708333333334,70
67,-18.722916666666663,-112.27291666666667,70
68,-18.722916666666663,-112.26875,70
69,-18.722916666666663,-112.25625,70
70,-18.722916666666663,-112.24375,15
71,-18.722916666666663,-112.23125,15
72,-18.722916666666663,-112.22708333333334,15
73,-18.722916666666663,-112.22291666666666,15
74,-18.722916666666663,-112.21875,15
75,-18.722916666666663,-112.21458333333334,15
76,-18.722916666666663,-112.21041666666667,15
77,-18.722916666666663,-112.20625,15
78,-18.71875,-112.28125,70
79,-18.71875,-112.27708333333334,70
80,-18.71875,-112.27291666666667,70
81,-18.71875,-112.26875,70
82,-18.71875,-112.25625,70
83,-18.71875,-112.24375,15
84,-18.71875,-112.23125,15
85,-18.71875,-112.22708333333334,15
86,-18.71875,-112.22291666666666,15
87,-18.71875,-112.21875,15
88,-18.71875,-112.21458333333334,15
89,-18.71875,-112.21041666666667,15
90,-18.71875,-112.20625,15
91,-18.714583333333337,-112.27708333333334,70
92,-18.714583333333337,-112.27291666666667,70
93,-18.714583333333337,-112.26875,70
94,-18.714583333333337,-112.25625,70
95,-18.714583333333337,-112.24375,15
96,-18.714583333333337,-112.23125,15
97,-18.714583333333337,-112.22708333333334,15
98,-18.714583333333337,-112.22291666666666,15
99,-18.714583333333337,-112.21875,15
100,-18.714583333333337,-112.21458333333334,15
101,-18.714583333333337,-112.21041666666667,15
102,-18.714583333333337,-112.20625,15
103,-18.710416666666674,-112.27708333333334,70
104,-18.710416666666674,-112.27291666666667,70
105,-18.710416666666674,-112.26875,70
106,-18.710416666666674,-112.25625,70
107,-18.710416666666674,-112.24375,15
108,-18.710416666666674,-112.23125,15
109,-18.710416666666674,-112.22708333333334,15
110,-18.710416666666674,-112.22291666666666,15
111,-18.710416666666674,-112.21875,15
112,-18.710416666666674,-112.21458333333334,15
113,-18.710416666666674,-112.21041666666667,15
114,-18.710416666666674,-112.20625,15
